cores,cpu_speed
6,6.29
6,6.29
6,6.29
6,6.29
6,6.29
6,6.29
6,6.29
6,6.29
6,6.29
6,6.29
6,6.29
6,6.29
16,6.18
16,6.18
16,6.18
16,6.18
16,6.18
16,6.18
16,6.18
16,6.18
16,6.18
16,6.18
16,6.18
16,6.18
16,6.18
16,6.18
16,6.18
16,6.09
16,6.09
16,6.09
16,6.09
16,6.09
16,6.09
16,6.09
16,6.09
16,6.09
16,6.09
8,5.99
8,5.99
8,5.99
8,5.99
8,5.99
8,5.99
8,5.99
8,5.99
8,5.99
8,5.99
8,5.99
8,5.99
8,5.99
8,5.99
8,5.99
8,5.99
8,5.99
8,5.99
8,5.99
8,5.99
8,5.99
8,5.99
8,5.99
8,5.99
8,5.99
8,5.99
8,5.99
8,5.99
8,5.99
8,5.99
8,5.99
8,5.99
8,5.99
8,5.99
8,5.99
8,5.99
8,5.99
8,5.99
8,5.99
8,5.99
8,5.99
8,5.99
8,5.99
8,5.99
8,5.99
8,5.99
8,5.99
8,5.99
8,5.99
8,5.99
8,5.99
8,5.99
8,5.99
8,5.99
8,5.99
8,5.99
8,5.99
8,5.99
8,5.99
8,5.99
8,5.99
8,5.99
8,5.99
8,5.99
8,5.99
8,5.99
8,5.99
8,5.99
8,5.99
8,5.99
4,5.92
4,5.92
4,5.92
4,5.92
4,5.92
4,5.92
4,5.92
4,5.92
4,5.92
4,5.92
4,5.92
4,5.92
4,5.92
4,5.92
4,5.92
4,5.92
4,5.92
4,5.92
4,5.92
4,5.92
4,5.83
4,5.83
4,5.83
4,5.83
4,5.83
4,5.83
4,5.83
4,5.83
4,5.83
4,5.83
4,5.83
4,5.83
4,5.83
4,5.83
4,5.83
4,5.83
4,5.83
4,5.83
4,5.83
4,5.83
4,5.83
4,5.83
4,5.83
4,5.83
4,5.83
4,5.83
4,5.83
4,5.83
4,5.83
4,5.83
4,5.83
4,5.83
4,5.83
4,5.83
4,5.83
4,5.83
4,5.83
4,5.83
6,5.73
6,5.73
6,5.73
6,5.73
6,5.73
6,5.73
6,5.73
6,5.73
6,5.73
6,5.73
6,5.73
6,5.73
6,5.73
6,5.73
6,5.73
6,5.73
6,5.73
6,5.73
6,5.73
6,5.73
6,5.73
6,5.73
6,5.73
6,5.73
6,5.73
6,5.73
6,5.73
6,5.73
6,5.73
6,5.73
6,5.73
6,5.73
6,5.73
6,5.73
6,5.73
4,5.71
4,5.71
4,5.71
4,5.71
4,5.71
4,5.71
4,5.71
4,5.71
4,5.71
4,5.71
4,5.71
4,5.71
4,5.71
4,5.71
4,5.71
4,5.71
4,5.71
4,5.71
8,5.58
8,5.58
8,5.58
8,5.58
8,5.58
8,5.58
8,5.58
8,5.58
8,5.58
8,5.58
8,5.58
8,5.58
8,5.53
8,5.53
8,5.53
8,5.53
8,5.53
8,5.53
8,5.53
8,5.53
8,5.53
8,5.53
8,5.53
8,5.53
8,5.53
8,5.53
8,5.53
8,5.53
8,5.53
8,5.53
8,5.53
8,5.53
8,5.53
8,5.53
8,5.53
8,5.53
8,5.53
8,5.53
8,5.53
8,5.53
8,5.53
8,5.53
8,5.53
8,5.53
8,5.53
8,5.53
8,5.53
8,5.53
8,5.53
8,5.53
8,5.53
8,5.53
8,5.53
8,5.53
8,5.53
8,5.53
8,5.53
8,5.53
8,5.53
8,5.53
8,5.53
8,5.53
8,5.53
8,5.53
8,5.53
8,5.53
8,5.53
8,5.53
8,5.53
8,5.53
8,5.53
8,5.53
8,5.53
8,5.53
8,5.53
8,5.53
8,5.53
8,5.53
8,5.53
8,5.53
8,5.53
8,5.53
6,5.51
6,5.51
6,5.51
6,5.51
6,5.51
6,5.51
6,5.51
6,5.51
6,5.51
6,5.51
6,5.51
6,5.51
6,5.51
6,5.51
6,5.51
6,5.51
6,5.51
6,5.51
6,5.51
6,5.51
6,5.51
6,5.51
6,5.51
6,5.51
6,5.51
6,5.51
6,5.51
6,5.51
6,5.51
6,5.51
6,5.51
6,5.51
6,5.51
6,5.51
8,5.47
8,5.47
8,5.47
8,5.47
8,5.47
8,5.47
8,5.47
8,5.47
8,5.47
8,5.47
8,5.47
8,5.47
8,5.47
8,5.47
8,5.47
8,5.47
8,5.47
8,5.47
8,5.47
8,5.47
8,5.47
8,5.47
8,5.47
8,5.47
8,5.47
8,5.47
8,5.47
8,5.47
8,5.47
8,5.47
8,5.47
8,5.47
8,5.47
8,5.47
8,5.47
8,5.47
8,5.47
8,5.47
8,5.47
8,5.47
8,5.47
8,5.47
8,5.47
16,5.46
16,5.46
16,5.46
16,5.46
16,5.46
16,5.46
16,5.46
16,5.46
16,5.46
16,5.46
16,5.46
16,5.46
16,5.46
16,5.46
16,5.46
16,5.46
16,5.46
16,5.46
16,5.46
16,5.46
16,5.46
16,5.46
16,5.46
16,5.46
16,5.46
16,5.46
16,5.46
16,5.46
16,5.46
16,5.46
16,5.46
16,5.46
16,5.46
16,5.46
16,5.46
16,5.46
16,5.46
16,5.46
16,5.46
16,5.46
16,5.46
16,5.46
16,5.46
16,5.46
16,5.46
16,5.46
16,5.46
16,5.46
16,5.46
16,5.46
16,5.46
16,5.46
16,5.46
31,5.42
31,5.42
31,5.42
31,5.42
31,5.42
31,5.42
31,5.42
31,5.42
31,5.42
31,5.42
31,5.42
31,5.42
31,5.42
31,5.42
31,5.42
31,5.42
31,5.42
31,5.42
31,5.42
31,5.42
31,5.42
31,5.42
31,5.42
31,5.42
31,5.42
31,5.42
31,5.42
31,5.42
31,5.42
31,5.42
31,5.42
31,5.42
31,5.42
31,5.42
31,5.42
31,5.42
31,5.42
31,5.42
31,5.42
31,5.42
31,5.42
31,5.42
31,5.42
31,5.42
31,5.42
31,5.42
31,5.42
31,5.42
31,5.42
31,5.42
31,5.42
31,5.42
31,5.42
31,5.42
31,5.42
31,5.42
31,5.42
31,5.42
8,5.42
8,5.42
8,5.42
8,5.42
8,5.42
8,5.42
8,5.42
8,5.42
8,5.42
8,5.42
8,5.42
8,5.42
8,5.42
8,5.42
8,5.42
8,5.42
8,5.42
8,5.42
8,5.42
8,5.42
8,5.42
8,5.42
8,5.42
8,5.42
8,5.42
8,5.42
8,5.42
8,5.42
8,5.42
8,5.42
8,5.42
8,5.42
8,5.42
8,5.42
8,5.42
8,5.42
8,5.42
8,5.42
8,5.42
8,5.42
8,5.42
8,5.42
8,5.42
8,5.42
8,5.42
8,5.42
8,5.42
8,5.42
8,5.42
8,5.42
8,5.42
8,5.42
8,5.42
8,5.42
8,5.42
8,5.42
8,5.42
8,5.42
8,5.42
8,5.42
8,5.42
